Comment,Designator,Footprint,LCSC
1K,R3,R_0402_1005Metric,C11702
100nF,"C1,C3,C6",C_0402_1005Metric,C1525
1µF,C5,C_0603_1608Metric,C15849
Conn_I2C1,J11,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
10µF,"C2,C4",C_0603_1608Metric,C19702
SW_Push,"SW1,SW2,SW3,SW4,SW5",SW_SPST_B3S-1000,C221869
LED green,D1,LED_0805_2012Metric,C2297
150Ω,R5,R_0402_1005Metric,C25082
220Ω,R1,R_0402_1005Metric,C25091
330Ω,R6,R_0402_1005Metric,C25104
10K,"R2,R4",R_0402_1005Metric,C25744
MP34DT05TR,MK1,MP34DT05TR,C2688664
AHT20,U1,AHT20,C2757850
Conn_PCB_2,J10,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,C5143489
BH1750FVI-TR,U2,BH1750,C78960
LED red,D2,LED_0805_2012Metric,C84256
Conn_PCB_1,J7,JST_SUR_BM04B-SURS-TF_1x04-1MP_P0.80mm_Vertical,
