Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Coin_Cell,CR2032_Holder,136.75,-129.6,90.0,top
C1,100nF,C_0402_1005Metric,120.8,-118.0,90.0,top
C2,100nF,C_0402_1005Metric,113.53,-116.29,0.0,top
C3,100nF,C_0402_1005Metric,121.05,-143.4,0.0,top
J1,JST-PH2 Bat,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,141.1,-110.85,90.0,top
J2,Conn_Pico_Left,PinSocket_1x20_P2.54mm_Vertical,108.175,-125.9,90.0,top
J3,Conn_Pico_Right,PinSocket_1x20_P2.54mm_Vertical,125.955,-125.9,90.0,top
J5,Conn_LoRa,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,92.3,-156.25,90.0,top
J6,Conn_Display,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,142.8,-156.25,270.0,top
J7,Conn_PCB_1,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,112.05,-167.75,180.0,top
J9,Conn_I2C0,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,117.09,-103.1,180.0,top
J10,Conn_PCB_2,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,92.3,-131.53,90.0,top
J11,Conn_I2C1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,93.1,-142.86,270.0,top
Q1,AO3401A,SOT-23,130.0,-111.15,180.0,top
Q2,AO3401A,SOT-23,130.0,-103.4,180.0,top
R1,100K,R_0402_1005Metric,113.55,-118.65,90.0,top
R2,10K,R_0402_1005Metric,121.95,-119.05,-90.0,top
R3,10K,R_0402_1005Metric,111.64,-111.085,0.0,top
R4,10K,R_0402_1005Metric,111.64,-112.355,0.0,top
R5,10K,R_0402_1005Metric,128.35,-147.05,-90.0,top
R6,100K,R_0402_1005Metric,128.4,-149.55,90.0,top
R7,10K,R_0402_1005Metric,123.1,-129.75,0.0,top
U1,74LVC2G74,TSSOP-8_3x3mm_P0.65mm,117.2,-119.1,270.0,top
U2,PCF8523T,SOIC-8_3.9x4.9mm_P1.27mm,116.34,-112.99,90.0,top
U4,XTSD,LGA8_8X6,116.9,-147.405,270.0,top
Y1,Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,121.44,-114.19,90.0,top
