Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,126.789132,-110.48,-90.0,top
C2,10µF,C_0603_1608Metric,125.889132,-108.48,0.0,top
C3,100nF,C_0402_1005Metric,105.3,-111.1,-90.0,top
C4,10µF,C_0603_1608Metric,106.75,-111.4,-90.0,top
C5,1µF,C_0603_1608Metric,133.5,-113.6,0.0,top
C6,100nF,C_0402_1005Metric,135.65,-113.8,-90.0,top
D1,LED green,LED_0805_2012Metric,130.75,-157.85,90.0,top
D2,LED red,LED_0805_2012Metric,107.3,-157.9,90.0,top
J7,Conn_PCB_1,JST_SUR_BM04B-SURS-TF_1x04-1MP_P0.80mm_Vertical,117.15,-157.65,0.0,bottom
J10,Conn_PCB_2,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,102.3,-131.53,270.0,bottom
J11,Conn_I2C1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,123.0,-103.3,180.0,bottom
MK1,MP34DT05TR,MP34DT05TR,109.5875,-112.15,270.0,top
R1,220Ω,R_0402_1005Metric,122.65,-108.45,90.0,top
R2,10K,R_0402_1005Metric,107.0,-114.1,-90.0,top
R3,1K,R_0402_1005Metric,136.8,-113.8,90.0,top
R4,10K,R_0402_1005Metric,137.85,-110.8,90.0,top
R5,150Ω,R_0402_1005Metric,130.75,-154.95,-90.0,top
R6,330Ω,R_0402_1005Metric,107.3,-155.55,0.0,top
SW1,SW_Push,SW_SPST_B3S-1000,105.65,-134.8,0.0,top
SW2,SW_Push,SW_SPST_B3S-1000,105.65,-142.4,0.0,top
SW3,SW_Push,SW_SPST_B3S-1000,105.65,-150.1,0.0,top
SW4,SW_Push,SW_SPST_B3S-1000,136.0,-154.65,90.0,top
SW5,SW_Push,SW_SPST_B3S-1000,125.1,-154.65,90.0,top
U1,AHT20,AHT20,122.66,-111.9,0.0,top
U2,BH1750FVI-TR,BH1750,135.2625,-111.65,180.0,top
